id,title,author,pages,year,genre_inferred,genre,status,notes
b0293,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,441,2019,crime_mystery,,active,
b0294,The Chalk Man,C.J. Tudor,340,2018,other,,active,
b0295,"The Cipher (Nina Guerrera, #1)",Isabella Maldonado,332,2020,other,,active,
b0296,The Killing,David Hewson,708,2012,other,,active,
b0297,Wrong Place Wrong Time,Gillian McAllister,416,2022,sci_fi,,active,
b0298,"John Dies at the End (John Dies at the End, #1)",David  Wong,362,2007,other,,active,
b0299,"Jade City (The Green Bone Saga, #1)",Fonda Lee,540,2018,other,,active,
b0300,Complex PTSD: From Surviving to Thriving,Pete Walker,376,2013,other,,active,
b0301,Psychoanalytic Diagnosis: Understanding Personality Structure in the Clinical Process,Nancy McWilliams,398,1994,other,,active,
b0302,Murder at the Manor: Crooked House / Ordeal by Innocence / The Seven Dials Mystery (A Mystery Guild Lost Classics Omnibus),Agatha Christie,513,2004,crime_mystery,,active,
b0303,"Effective Data Storytelling: How to Drive Change with Data, Narrative and Visuals",Brent Dykes,336,2019,other,,active,
b0304,Divine Might - Goddesses in Greek Myth,Natalie Haynes,261,2024,other,,active,
b0305,Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace,David Lipsky,320,2010,other,,active,
b0306,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,336,2015,nonfiction,,active,
b0307,The Yellow Sign,James   Hodge,262,2022,other,,active,
b0308,We Have Always Lived in the Castle,Shirley Jackson,204,2022,other,,active,
b0309,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,303,2014,other,,active,
b0310,The Language Instinct: How the Mind Creates Language,Steven Pinker,448,2000,other,,active,
